1|2024-01-08|Dr. Reddy's beats estimates|impact|beta|4.5|0.5|0.0|0.0|0.0|0.0
2|2024-01-15|Pfizer oncology pipeline|impact|beta|0.3|5.2|0.0|0.0|0.0|0.0
3|2024-01-22|Coromandel contract win|impact|beta|0.0|0.0|4.8|0.0|0.0|0.0
4|2024-01-29|Nestle record revenue|impact|beta|0.0|0.0|0.0|3.9|0.0|0.0
5|2024-02-05|HDFC strong quarter|impact|beta|0.0|0.0|0.0|0.0|4.2|1.1
6|2024-02-12|SBI dividend announced|impact|beta|0.0|0.0|0.0|0.0|0.8|3.8
7|2024-02-19|RBI rate hike|impact|beta|-1.2|-1.5|-0.8|-0.9|-4.1|-3.7
8|2024-02-26|Pharma FDA approvals|impact|beta|3.8|3.5|0.0|0.0|0.0|0.0
9|2024-03-04|Coromandel guidance cut|impact|beta|0.0|0.0|-3.9|0.0|0.0|0.0
10|2024-03-11|Nestle product recall|impact|beta|0.0|0.0|0.0|-4.5|0.0|0.0
11|2024-03-18|HDFC merger complete|impact|beta|0.0|0.0|0.0|0.0|5.1|0.5
12|2024-03-25|Global selloff|impact|beta|-2.1|-2.5|-1.7|-1.3|-3.2|-3.5
13|2024-04-01|Dr. Reddy's licensing deal|impact|beta|5.0|0.0|0.0|0.0|0.0|0.0
14|2024-04-08|Pfizer misses estimates|impact|beta|-0.5|-3.8|0.0|0.0|0.0|0.0
15|2024-04-15|Coromandel Q4 profit jump|impact|beta|0.0|0.0|5.2|0.0|0.0|0.0
16|2024-04-22|Nestle India expansion|impact|beta|0.0|0.0|0.0|4.3|0.0|0.0
17|2024-04-29|SBI NPA rises|impact|beta|0.0|0.0|0.0|0.0|-0.4|-3.9
18|2024-05-06|Sensex 80000 rally|impact|beta|1.6|1.2|1.9|1.1|3.1|3.4
19|2024-05-13|Dr. Reddy's USFDA concern|impact|beta|-4.2|0.0|0.0|0.0|0.0|0.0
20|2024-05-20|Pfizer cost-cut India unaffected|impact|beta|0.0|1.2|0.0|0.0|0.0|0.0
21|2024-05-27|Coromandel Nestle partnership|impact|beta|0.0|0.0|2.4|2.1|0.0|0.0
22|2024-06-03|HDFC SBI infra financing|impact|beta|0.0|0.0|0.0|0.0|4.0|4.1
23|2024-06-10|Election results rally|impact|beta|2.3|2.0|2.8|2.0|3.9|3.7
