1|2024-01-08|Dr. Reddy's Q3 net profit rises 18% YoY on strong generics demand|1.0|Press Information Bureau|0.8|0.1|0.0|0.0|0.0|0.0
2|2024-01-15|Pfizer announces breakthrough in oncology drug pipeline|0.9|Primary Post News Ltd|0.1|1.2|0.0|0.0|0.0|0.0
3|2024-01-22|Coromandel International wins large fertiliser supply contract|1.0|Press Information Bureau|0.0|0.0|1.1|0.0|0.0|0.0
4|2024-01-29|Nestle India posts record quarterly revenue amid FMCG demand surge|0.85|Department of Press White House|0.0|0.0|0.0|0.95|0.0|0.0
5|2024-02-05|HDFC Bank reports robust loan growth, NPA improves sharply|1.0|Press Information Bureau|0.0|0.0|0.0|0.0|1.1|0.3
6|2024-02-12|SBI announces 15% dividend; strong retail banking quarter|0.9|Primary Post News Ltd|0.0|0.0|0.0|0.0|0.2|1.0
7|2024-02-19|RBI raises repo rate by 25 bps — banking sector under pressure|0.8|Democratic TV|-0.1|-0.1|-0.1|-0.1|-1.2|-1.0
8|2024-02-26|Pharma sector rally on US FDA approvals; Dr. Reddy's and Pfizer lead|1.0|Press Information Bureau|1.0|0.9|0.0|0.0|0.0|0.0
9|2024-03-04|Coromandel faces raw material shortage; guidance cut|0.85|Primary Post News Ltd|0.0|0.0|-1.0|0.0|0.0|0.0
10|2024-03-11|Nestle product recall in three states — FSSAI inquiry opens|0.9|Democratic TV|0.0|0.0|0.0|-1.1|0.0|0.0
11|2024-03-18|HDFC merger with HDFC Ltd complete; analysts upgrade to buy|1.0|Press Information Bureau|0.0|0.0|0.0|0.0|1.3|0.1
12|2024-03-25|Global market selloff on US recession fears; broad decline expected|0.7|Fox News|-0.5|-0.6|-0.4|-0.3|-0.8|-0.9
13|2024-04-01|Dr. Reddy's signs licensing deal with US biotech firm|1.0|Primary Post News Ltd|1.2|0.0|0.0|0.0|0.0|0.0
14|2024-04-08|Pfizer India revenue misses estimates; analyst downgrades|0.85|Department of Press White House|-0.1|-0.9|0.0|0.0|0.0|0.0
15|2024-04-15|Coromandel Q4 profit jumps 30% on strong kharif season|1.0|Press Information Bureau|0.0|0.0|1.2|0.0|0.0|0.0
16|2024-04-22|Nestle parent announces India expansion — Rs 2500 crore investment|1.0|Primary Post News Ltd|0.0|0.0|0.0|1.1|0.0|0.0
17|2024-04-29|SBI gross NPA rises; provisioning increases — caution flagged|0.9|Democratic TV|0.0|0.0|0.0|0.0|-0.1|-1.0
18|2024-05-06|Broad market rally — Sensex crosses 80000 for first time|1.0|Press Information Bureau|0.4|0.3|0.5|0.3|0.8|0.9
19|2024-05-13|Dr. Reddy's USFDA inspection raises compliance concerns|0.9|Primary Post News Ltd|-1.0|0.0|0.0|0.0|0.0|0.0
20|2024-05-20|Pfizer global cost-cutting: India ops unaffected say sources|0.8|Department of Press White House|0.0|0.3|0.0|0.0|0.0|0.0
21|2024-05-27|Coromandel and Nestle partnership for agri-nutrition products|1.0|Press Information Bureau|0.0|0.0|0.6|0.5|0.0|0.0
22|2024-06-03|HDFC and SBI announce joint infrastructure financing — analysts bullish|1.0|Primary Post News Ltd|0.0|0.0|0.0|0.0|1.0|1.0
23|2024-06-10|Election results: markets cheer; broad sectoral rally expected|1.0|Press Information Bureau|0.6|0.5|0.7|0.5|1.0|0.9
